"Bucket","File","Status","Copyrights","License","Notes"
"archived","src/archived/fceux-server/md5.cpp","New","","GPLv2+",""
"archived","src/archived/fceux-server/md5.h","New","","GPLv2+",""
"archived","src/archived/fceux-server/server.cpp","New","* Copyright (C) 2004 Xodnizel","GPLv2+",""
"archived","src/archived/fceux-server/throttle.cpp","New","* Copyright (C) 2004 Xodnizel","GPLv2+",""
"archived","src/archived/fceux-server/throttle.h","New","* Copyright (C) 2004 Xodnizel","GPLv2+",""
"archived","src/archived/fceux-server/types.h","New","* Copyright (C) 2004 Xodnizel","GPLv2+",""
"archived","src/archived/fir/c44100ntsc.h","New","","Unknown/None",""
"archived","src/archived/fir/c44100pal.h","New","","Unknown/None",""
"archived","src/archived/fir/c48000ntsc.h","New","","Unknown/None",""
"archived","src/archived/fir/c48000pal.h","New","","Unknown/None",""
"archived","src/archived/fir/c96000ntsc.h","New","","Unknown/None",""
"archived","src/archived/fir/c96000pal.h","New","","Unknown/None",""
"archived","src/archived/fir/toh.c","New","","Unknown/None",""
"boards","src/boards/_cart_helpers.cpp","New","","GPLv2+",""
"boards","src/boards/_cart_helpers.h","New","","GPLv2+",""
"boards","src/boards/datalatch_carts.h","New","","GPLv2+",""
"boards","src/boards/irem_txc_bit_carts.h","New","","GPLv2+",""
"boards","src/boards/legacy_expansion_audio.h","New","","GPLv2+",""
"boards","src/boards/mapinc_audio.h","New","","Unknown/None",""
"boards","src/boards/mapinc_base.h","New","","Unknown/None",""
"boards","src/boards/mapinc_bus.h","New","","Unknown/None",""
"boards","src/boards/mapinc_mmc3.h","New","","Unknown/None",""
"boards","src/boards/mapinc_state.h","New","","Unknown/None",""
"boards","src/boards/mapper_strategy_a.h","New","","GPLv2+",""
"boards","src/boards/mmc1_cart.h","New","","GPLv2+",""
"boards","src/boards/mmc3_base_cart.cpp","New","","GPLv2+",""
"boards","src/boards/mmc3_base_cart.h","New","","GPLv2+",""
"boards","src/boards/mmc3_cart.h","New","","GPLv2+",""
"boards","src/boards/mmc3_variants_carts.h","New","","GPLv2+",""
"boards","src/boards/nrom_cart.h","New","","GPLv2+",""
"boards","src/boards/registry.cpp","New","","Unknown/None",""
"boards","src/boards/registry.h","New","","Unknown/None",""
"boards","src/boards/simple_carts.h","New","","Unknown/None",""
"boards","src/boards/smb2j_carts.h","New","","GPLv2+",""
"boards","src/boards/vrc2and4_carts.h","New","","GPLv2+",""
"boards","src/boards/vrc6_cart.h","New","","GPLv2+",""
"drivers","src/drivers/common/nes_shm.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
